,task,split
104,Soil_Estonia-OC,train
105,Soil_Austria-OC,val
106,Soil_Poland-OC,val
107,Soil_Cyprus-OC,test
108,Soil_Germany-CEC,test
109,Soil_Hungary-CEC,train
110,Soil_Netherlands-CEC,test
111,Soil_Finland-CEC,val
112,Soil_Spain-CEC,test
113,Soil_Poland-CEC,val
114,Soil_Slovakia-CEC,train
115,Soil_Austria-CEC,val
116,Soil_Latvia-CEC,val
117,Soil_France-CEC,train
118,Soil_Greece-CEC,val
119,Soil_Ireland-CEC,train
120,Soil_Portugal-CEC,test
121,Soil_Belgium-CEC,train
122,Soil_Denmark-CEC,train
123,Soil_United Kingdom-CEC,train
124,Soil_Italy-CEC,val
125,Soil_Sweden-CEC,train
126,Soil_Czechia-CEC,train
127,Soil_Lithuania-CEC,train
128,Soil_Estonia-CEC,train
129,Soil_Luxembourg-CEC,train
130,Soil_Slovenia-CEC,train
131,Soil_France-N,train
132,Soil_Bulgaria-N,val
133,Soil_Greece-N,val
134,Soil_Spain-N,test
135,Soil_Lithuania-N,train
136,Soil_Latvia-N,val
137,Soil_Slovenia-N,train
138,Soil_Luxembourg-N,train
139,Soil_Poland-N,val
140,Soil_Croatia-N,val
141,Soil_Slovakia-N,train
142,Soil_Romania-N,test
143,Soil_Hungary-N,train
144,Soil_Denmark-N,train
145,Soil_Czechia-N,train
146,Soil_Portugal-N,test
147,Soil_Finland-N,val
148,Soil_Belgium-N,train
149,Soil_Austria-N,val
150,Soil_Germany-N,test
151,Soil_Netherlands-N,test
152,Soil_Ireland-N,train
153,Soil_United Kingdom-N,train
154,Soil_Estonia-N,train
155,Soil_Sweden-N,train
156,Soil_Cyprus-N,test
157,Soil_Italy-N,val
158,Soil_Netherlands-Clay,test
159,Soil_Sweden-Clay,train
160,Soil_Belgium-Clay,train
161,Soil_Luxembourg-Clay,train
162,Soil_Slovenia-Clay,train
163,Soil_Germany-Clay,test
164,Soil_Finland-Clay,val
165,Soil_Spain-Clay,test
166,Soil_Hungary-Clay,train
167,Soil_Poland-Clay,val
168,Soil_Slovakia-Clay,train
169,Soil_Portugal-Clay,test
170,Soil_Lithuania-Clay,train
171,Soil_Latvia-Clay,val
172,Soil_Croatia-Clay,val
173,Soil_Cyprus-Clay,test
174,Soil_Bulgaria-Clay,val
175,Soil_United Kingdom-Clay,train
176,Soil_France-Clay,train
177,Soil_Ireland-Clay,train
178,Soil_Romania-Clay,test
179,Soil_Czechia-Clay,train
180,Soil_Greece-Clay,val
181,Soil_Austria-Clay,val
182,Soil_Italy-Clay,val
183,Soil_Denmark-Clay,train
184,Soil_Estonia-Clay,train
